Time,area,rain
2019-07-31 00:02:00,Eastern District,9 to 22
2019-07-31 00:02:00,Southern District,1 to 11
2019-07-31 00:02:00,Tsuen Wan,1 to 6
2019-07-31 00:02:00,Sai Kung,1 to 18
2019-07-31 00:02:00,Sham Shui Po,10 to 17
2019-07-31 00:02:00,Wong Tai Sin,7 to 16
2019-07-31 00:02:00,Yau Tsim Mong,11 to 18
2019-07-31 00:02:00,Kowloon City,12 to 22
2019-07-31 00:02:00,Sha Tin,1 to 10
2019-07-31 00:02:00,Kwun Tong,13 to 22
2019-07-31 00:02:00,Islands District,0 to 3
2019-07-31 00:02:00,Tai Po,0 to 1
2019-07-31 00:02:00,Wan Chai,9 to 15
2019-07-31 00:02:00,Kwai Tsing,4 to 12
2019-07-31 00:02:00,Central & Western District,5 to 12
2019-07-31 00:02:00,Tuen Mun,0 to 1
2019-07-31 01:02:00,Sham Shui Po,2 to 4
2019-07-31 01:02:00,Yuen Long,0 to 2
2019-07-31 01:02:00,Sha Tin,0 to 1
2019-07-31 01:02:00,Wong Tai Sin,0 to 1
2019-07-31 01:02:00,Sai Kung,0 to 1
2019-07-31 01:02:00,North District,0 to 1
2019-07-31 01:02:00,Kowloon City,0 to 1
2019-07-31 01:02:00,Kwai Tsing,1 to 5
2019-07-31 01:02:00,Tai Po,0 to 2
2019-07-31 01:02:00,Islands District,0 to 3
2019-07-31 01:02:00,Tsuen Wan,0 to 6
2019-07-31 01:02:00,Tuen Mun,0 to 9
2019-07-31 02:02:00,Islands District,0 to 2
2019-07-31 02:02:00,Southern District,0 to 1
2019-07-31 04:02:00,Islands District,0 to 2
2019-07-31 04:46:00,Islands District,0 to 2
2019-07-31 05:02:00,Eastern District,0 to 1
2019-07-31 05:02:00,Islands District,0 to 22
2019-07-31 05:02:00,Southern District,0 to 16
2019-07-31 06:02:00,Kwun Tong,14 to 16
2019-07-31 06:02:00,Tai Po,0 to 2
2019-07-31 06:02:00,Sham Shui Po,16 to 21
2019-07-31 06:02:00,Wong Tai Sin,7 to 15
2019-07-31 06:02:00,Sai Kung,2 to 19
2019-07-31 06:02:00,Eastern District,3 to 7
2019-07-31 06:02:00,Sha Tin,0 to 8
2019-07-31 06:02:00,Yuen Long,0 to 3
2019-07-31 06:02:00,Wan Chai,5 to 7
2019-07-31 06:02:00,Yau Tsim Mong,5 to 9
2019-07-31 06:02:00,Tsuen Wan,2 to 10
2019-07-31 06:02:00,Central & Western District,4 to 8
2019-07-31 06:02:00,Southern District,3 to 8
2019-07-31 06:02:00,Islands District,0 to 12
2019-07-31 06:02:00,Kowloon City,13 to 16
2019-07-31 06:02:00,Kwai Tsing,8 to 14
2019-07-31 06:02:00,Tuen Mun,1 to 9
2019-07-31 06:31:00,Sha Tin,0 to 8
2019-07-31 06:31:00,Tai Po,0 to 2
2019-07-31 06:31:00,Tuen Mun,1 to 9
2019-07-31 06:31:00,Islands District,0 to 12
2019-07-31 06:31:00,Yau Tsim Mong,5 to 9
2019-07-31 06:31:00,Kowloon City,13 to 16
2019-07-31 06:31:00,Wong Tai Sin,7 to 15
2019-07-31 06:31:00,Kwun Tong,14 to 16
2019-07-31 06:31:00,Wan Chai,5 to 7
2019-07-31 06:31:00,Central & Western District,4 to 8
2019-07-31 06:31:00,Yuen Long,0 to 3
2019-07-31 06:31:00,Eastern District,3 to 7
2019-07-31 06:31:00,Sai Kung,2 to 19
2019-07-31 06:31:00,Tsuen Wan,2 to 10
2019-07-31 06:31:00,Sham Shui Po,16 to 21
2019-07-31 06:31:00,Kwai Tsing,8 to 14
2019-07-31 06:31:00,Southern District,3 to 8
2019-07-31 07:02:00,Eastern District,0 to 1
2019-07-31 07:02:00,Wong Tai Sin,1 to 3
2019-07-31 07:02:00,Central & Western District,0 to 1
2019-07-31 07:02:00,North District,0 to 22
2019-07-31 07:02:00,Tsuen Wan,0 to 3
2019-07-31 07:02:00,Tuen Mun,1
2019-07-31 07:02:00,Yau Tsim Mong,1 to 2
2019-07-31 07:02:00,Kwai Tsing,1 to 2
2019-07-31 07:02:00,Islands District,0 to 1
2019-07-31 07:02:00,Southern District,0 to 1
2019-07-31 07:02:00,Sha Tin,1 to 8
2019-07-31 07:02:00,Sai Kung,2 to 13
2019-07-31 07:02:00,Sham Shui Po,2 to 3
2019-07-31 07:02:00,Kwun Tong,2 to 3
2019-07-31 07:02:00,Kowloon City,2 to 3
2019-07-31 07:02:00,Tai Po,4 to 37
2019-07-31 07:02:00,Yuen Long,1 to 5
2019-07-31 07:26:00,Kwai Tsing,1 to 2
2019-07-31 07:26:00,Wong Tai Sin,1 to 3
2019-07-31 07:26:00,Central & Western District,0 to 1
2019-07-31 07:26:00,Tuen Mun,1
2019-07-31 07:26:00,Southern District,0 to 1
2019-07-31 07:26:00,Sha Tin,1 to 8
2019-07-31 07:26:00,Tsuen Wan,0 to 3
2019-07-31 07:26:00,Sai Kung,2 to 13
2019-07-31 07:26:00,North District,0 to 22
2019-07-31 07:26:00,Sham Shui Po,2 to 3
2019-07-31 07:26:00,Yau Tsim Mong,1 to 2
2019-07-31 07:26:00,Yuen Long,1 to 5
2019-07-31 07:26:00,Tai Po,4 to 37
2019-07-31 07:26:00,Islands District,0 to 1
2019-07-31 07:26:00,Kowloon City,2 to 3
2019-07-31 07:26:00,Kwun Tong,2 to 3
2019-07-31 07:26:00,Eastern District,0 to 1
2019-07-31 08:02:00,Sha Tin,0 to 3
2019-07-31 08:02:00,North District,2 to 15
2019-07-31 08:02:00,Eastern District,0 to 1
2019-07-31 08:02:00,Yuen Long,1 to 8
2019-07-31 08:02:00,Wan Chai,1 to 2
2019-07-31 08:02:00,Sai Kung,0 to 1
2019-07-31 08:02:00,Tuen Mun,0 to 1
2019-07-31 08:02:00,Central & Western District,1
2019-07-31 08:02:00,Southern District,0 to 2
2019-07-31 08:02:00,Islands District,0 to 7
2019-07-31 08:02:00,Tai Po,0 to 5
2019-07-31 08:02:00,Tsuen Wan,0 to 3
2019-07-31 08:02:00,Kwun Tong,0 to 1
2019-07-31 08:02:00,Kwai Tsing,0 to 1
2019-07-31 09:02:00,Southern District,1 to 8
2019-07-31 09:02:00,Central & Western District,0 to 2
2019-07-31 09:02:00,Eastern District,0 to 2
2019-07-31 09:02:00,Wan Chai,0 to 2
2019-07-31 09:02:00,North District,0 to 1
2019-07-31 09:02:00,Tai Po,0 to 1
2019-07-31 09:02:00,Islands District,0 to 14
2019-07-31 09:16:00,Islands District,0 to 14
2019-07-31 09:16:00,Southern District,1 to 8
2019-07-31 09:16:00,Central & Western District,0 to 2
2019-07-31 09:16:00,Tai Po,0 to 1
2019-07-31 09:16:00,Wan Chai,0 to 2
2019-07-31 09:16:00,North District,0 to 1
2019-07-31 09:16:00,Eastern District,0 to 2
2019-07-31 10:02:00,Sha Tin,0 to 1
2019-07-31 10:02:00,Sai Kung,0 to 1
2019-07-31 10:02:00,North District,0 to 1
2019-07-31 10:02:00,Kwun Tong,0 to 1
2019-07-31 10:02:00,Kwai Tsing,0 to 1
2019-07-31 10:02:00,Southern District,25 to 40
2019-07-31 10:02:00,Tai Po,0 to 2
2019-07-31 10:02:00,Tsuen Wan,0 to 3
2019-07-31 10:02:00,Wan Chai,13 to 22
2019-07-31 10:02:00,Central & Western District,8 to 26
2019-07-31 10:02:00,Eastern District,3 to 12
2019-07-31 10:02:00,Islands District,3 to 31
2019-07-31 10:02:00,Yuen Long,0 to 2
2019-07-31 10:02:00,Yau Tsim Mong,0 to 3
2019-07-31 11:11:00,Kowloon City,2
2019-07-31 11:11:00,Tsuen Wan,0 to 2
2019-07-31 11:11:00,Southern District,7 to 13
2019-07-31 11:11:00,Wong Tai Sin,1 to 3
2019-07-31 11:11:00,Sha Tin,0 to 2
2019-07-31 11:11:00,Sai Kung,0 to 4
2019-07-31 11:11:00,Yau Tsim Mong,1
2019-07-31 11:11:00,Wan Chai,5 to 6
2019-07-31 11:11:00,Islands District,1 to 12
2019-07-31 11:11:00,Central & Western District,2 to 7
2019-07-31 11:11:00,Kwun Tong,1 to 4
2019-07-31 11:11:00,Eastern District,2 to 6
2019-07-31 11:11:00,Sham Shui Po,1 to 2
2019-07-31 11:11:00,Kwai Tsing,0 to 1
2019-07-31 11:11:00,Tai Po,0 to 1
2019-07-31 11:11:00,Yuen Long,0 to 1
