Date,Relative Humidity,Temperature,rain,UV
01-01,65.27083333333334,15.98731884057971,0.0,3.25
01-02,67.66666666666667,17.322916666666668,0.125,4.5
01-03,73.29393115942028,17.776721014492754,0.25,4.5
01-04,74.32291666666667,18.427083333333332,0.0,4.75
01-05,74.0625,19.395833333333332,0.375,5.0
01-06,73.23958333333333,19.552083333333332,0.0,5.25
01-07,71.82291666666667,19.0,0.0,4.0
01-08,64.41583333333332,16.855,0.0,4.0
01-09,66.125,16.885416666666664,0.0,3.75
01-10,72.21875,17.333333333333332,13.25,3.75
01-11,70.89583333333333,16.375,12.5,3.25
01-12,64.37186594202899,16.13432971014493,2.75,3.75
01-13,70.23958333333334,17.5625,19.75,4.0
01-14,73.52083333333334,18.364583333333332,7.125,4.0
01-15,75.44791666666666,18.354166666666668,0.125,5.0
01-16,74.98958333333333,17.197916666666664,0.0,4.5
01-17,70.74878623188405,16.598858695652176,0.0,2.75
01-18,66.40625,15.927083333333332,1.25,4.75
01-19,67.99003623188406,16.721467391304348,0.0,4.5
01-20,69.41666666666667,17.75,0.0,4.5
01-21,77.70833333333333,18.416666666666668,0.875,4.75
01-22,83.86458333333333,19.15625,11.0,4.25
01-23,83.40625,20.125,0.0,5.25
01-24,78.22916666666667,18.666666666666664,2.875,5.0
01-25,74.58333333333333,17.506793478260867,12.875,4.25
01-26,78.20833333333333,17.75,104.625,5.0
01-27,69.34375,16.875,3.125,5.25
01-28,62.849761198945984,16.0022233201581,0.0,4.25
01-29,57.48295454545455,15.412878787878789,0.0,5.0
01-30,55.997282608695656,15.52626811594203,0.0,6.25
01-31,61.97916666666667,16.177083333333332,0.0,5.5
02-01,77.07765151515152,17.5625,9.75,4.75
02-02,79.29356060606061,18.28409090909091,3.625,5.0
02-03,76.88632246376812,16.98596014492754,3.0,4.25
02-04,75.73958333333334,17.09375,5.75,4.75
02-05,76.72821969696969,17.539772727272727,0.25,3.75
02-06,77.47916666666666,18.166666666666664,0.0,4.75
02-07,80.8509963768116,18.994565217391305,0.875,4.0
02-08,79.58333333333333,18.34375,0.5,4.0
02-09,78.125,17.677083333333336,0.125,4.0
02-10,82.98958333333334,17.864583333333332,149.0,3.0
02-11,84.64583333333334,18.072916666666664,5.75,4.25
02-12,83.65625,19.458333333333332,0.5,5.75
02-13,85.95833333333333,19.65625,124.5,4.0
02-14,77.48958333333333,18.979166666666668,46.125,6.25
02-15,75.19338768115942,18.946105072463766,4.25,5.75
02-16,72.87092391304347,17.173007246376812,92.5,4.5
02-17,69.58288043478261,17.027626811594203,8.5,5.5
02-18,68.24909420289855,17.444293478260867,0.0,5.0
02-19,73.4669384057971,17.586503623188406,82.375,5.25
02-20,75.06155303030303,16.417613636363637,168.5,4.75
02-21,76.19248188405797,16.49909420289855,156.875,5.25
02-22,76.72916666666667,17.270833333333332,134.625,5.5
02-23,73.65036231884058,17.805253623188406,54.5,6.75
02-24,73.62001811594203,18.016304347826086,0.0,5.75
02-25,73.11096014492753,18.5919384057971,5.5,6.75
02-26,75.35416666666666,19.864583333333332,59.5,6.75
02-27,77.95170454545455,18.409090909090907,41.875,5.25
02-28,75.46875,19.208333333333332,0.0,7.0
03-01,77.8288043478261,21.496829710144926,0.125,7.25
03-02,77.96685606060606,20.50094696969697,0.0,5.25
03-03,73.2259963768116,18.937047101449274,1.25,5.0
03-04,77.90625,19.958333333333336,10.625,3.95
03-05,79.21376811594203,19.636322463768117,3.25,5.5
03-06,75.05117753623189,19.51268115942029,24.125,5.25
03-07,75.97916666666667,20.0625,20.375,4.75
03-08,75.96780303030303,20.18844696969697,7.375,5.5
03-09,74.86730072463769,21.09692028985507,8.0,6.25
03-10,68.67708333333334,21.614583333333332,1.125,7.5
03-11,71.75815217391305,21.002717391304348,0.5,6.5
03-12,76.84646739130434,21.819293478260867,0.5,5.5
03-13,76.1340579710145,21.7205615942029,0.625,6.5
03-14,77.38068181818181,21.639204545454547,5.875,6.0
03-15,75.71969696969697,21.860795454545453,0.0,7.25
03-16,75.94791666666666,22.114583333333336,0.0,6.5
03-17,81.7776268115942,22.783967391304348,3.875,5.5
03-18,84.33288043478261,22.672101449275363,50.375,4.5
03-19,85.30797101449275,22.350996376811594,9.375,5.0
03-20,85.80208333333334,22.25,18.125,4.5
03-21,85.35416666666667,21.96875,4.875,3.0
03-22,80.26947463768116,22.41576086956522,0.25,4.75
03-23,79.23913043478261,21.56748188405797,247.5,3.75
03-24,80.38541666666667,21.583333333333336,4.75,5.5
03-25,82.81818181818181,22.763257575757578,203.75,5.5
03-26,85.28948451910408,23.051959815546773,29.375,4.75
03-27,83.9702380952381,22.345238095238095,30.0,3.675
03-28,86.21401515151516,20.955492424242422,183.625,3.0
03-29,85.13231107660455,21.192934782608695,8.75,4.5
03-30,83.95425724637681,22.514039855072465,24.0,4.25
03-31,83.73125,22.854166666666668,22.875,4.75
04-01,85.3125,21.528079710144926,5.875,3.5
04-02,83.14764492753623,20.729166666666664,18.25,2.725
04-03,76.54166666666667,21.666666666666664,7.125,5.25
04-04,79.58779761904762,22.270833333333336,51.5,4.25
04-05,81.24139492753623,21.86911231884058,38.25,3.5
04-06,81.29166666666666,22.208333333333336,125.375,4.9
04-07,76.33333333333333,21.645833333333332,31.5,6.25
04-08,67.18976449275362,21.993659420289855,0.0,5.25
04-09,71.90625,21.333333333333336,38.625,6.5
04-10,71.0,22.278532608695652,0.0,7.75
04-11,79.03125,23.739583333333332,30.625,7.25
04-12,73.5606884057971,23.997282608695652,25.0,7.75
04-13,69.94791666666667,23.666666666666664,0.125,6.75
04-14,74.60416666666666,23.979166666666668,2.25,6.0
04-15,73.86458333333333,23.864583333333332,16.5,6.25
04-16,76.6580615942029,23.69067028985507,3.25,7.0
04-17,79.76829710144928,23.56413043478261,9.375,6.0
04-18,76.25226449275362,23.941123188405797,2.375,6.0
04-19,77.65217391304347,23.647192028985508,77.125,5.5
04-20,80.83559782608695,23.831521739130434,116.75,6.5
04-21,80.90217391304347,24.724184782608695,46.5,6.25
04-22,85.09827898550725,23.899003623188406,78.25,4.225
04-23,84.0625,24.25,11.5,5.5
04-24,83.98188405797102,23.76268115942029,13.0,4.75
04-25,84.38541666666667,23.84375,13.875,4.5
04-26,76.82942193675889,23.929924242424242,9.375,6.25
04-27,78.19545807453416,24.55182453416149,29.625,6.0
04-28,78.81464097496706,25.258152173913043,10.125,7.5
04-29,77.46739130434783,25.48052536231884,4.375,7.0
04-30,77.10235507246377,25.310235507246375,12.75,7.0
05-01,80.93659420289856,24.22463768115942,121.125,6.5
05-02,79.58197463768116,23.8125,127.375,6.75
05-03,78.42708333333334,24.824404761904763,27.0,7.75
05-04,77.25,26.520833333333332,101.0,9.5
05-05,77.99864130434781,26.706521739130434,5.375,8.5
05-06,79.22537878787878,26.891098484848484,1.125,7.75
05-07,80.0625,26.958333333333332,190.75,6.75
05-08,79.72554347826087,26.284873188405797,130.625,6.75
05-09,77.8346920289855,26.70606884057971,0.375,9.0
05-10,77.98097826086956,26.81023550724638,51.5,8.0
05-11,80.99456521739131,26.77981884057971,483.0,5.975
05-12,81.98958333333333,26.638392857142858,764.125,4.625
05-13,85.12817028985508,26.298007246376812,451.125,5.25
05-14,86.51988636363636,25.74715909090909,235.0,6.25
05-15,83.29331140350877,26.281798245614034,111.5,7.5
05-16,81.55681818181819,26.135416666666668,23.875,7.75
05-17,78.44791666666667,27.1875,109.875,7.75
05-18,74.92708333333333,27.197916666666664,184.625,7.0
05-19,75.21875,28.270833333333332,10.25,8.0
05-20,79.34469696969697,28.626893939393938,56.625,8.75
05-21,80.90056818181819,28.651515151515152,468.875,7.5
05-22,80.86186594202898,28.342391304347828,100.75,6.25
05-23,84.71969696969697,27.080492424242426,129.0,4.5
05-24,86.0588768115942,26.40036231884058,120.75,6.0
05-25,88.5,26.697916666666668,234.5,4.0
05-26,84.91666666666667,28.166666666666664,138.375,8.75
05-27,82.24139492753623,28.742753623188406,189.0,7.5
05-28,79.95833333333334,28.84375,25.125,9.0
05-29,78.76488095238096,29.09375,23.625,8.75
05-30,81.77536231884058,29.114583333333332,622.5,7.25
05-31,81.39583333333333,29.625,118.25,6.5
06-01,82.29166666666667,28.635416666666664,418.0,7.25
06-02,80.75,29.125,102.125,7.0
06-03,77.69791666666667,30.041666666666668,81.0,8.0
06-04,79.52128623188406,29.51086956521739,61.625,9.0
06-05,76.99320652173913,29.120018115942027,67.625,8.5
06-06,82.85416666666666,28.21875,1270.875,5.75
06-07,85.71969696969697,28.08712121212121,932.0,5.75
06-08,85.37001811594203,28.28894927536232,672.375,5.75
06-09,85.72916666666666,28.166666666666668,387.0,5.75
06-10,83.125,28.59375,253.5,8.5
06-11,82.39583333333333,28.8125,394.25,8.75
06-12,81.31114130434783,29.1268115942029,199.25,8.0
06-13,81.85119047619048,29.321428571428573,168.5,8.0
06-14,84.94021739130434,28.08288043478261,528.25,5.0
06-15,84.43885869565217,28.274456521739133,412.25,7.75
06-16,83.42708333333333,28.239583333333336,368.0,5.5
06-17,81.90246212121212,28.667613636363637,498.125,7.5
06-18,81.12635869565217,29.149909420289855,187.375,8.0
06-19,78.97690217391305,29.750452898550726,51.75,8.5
06-20,78.26535087719299,29.952850877192983,51.875,8.5
06-21,78.60416666666667,30.020833333333332,47.75,8.75
06-22,79.6875,29.316666666666666,213.125,7.75
06-23,79.80661231884058,29.115942028985508,286.125,7.75
06-24,81.37907608695653,28.795742753623188,299.125,7.0
06-25,79.95833333333333,29.05932971014493,108.875,7.75
