Time,Temperature,Relative Humidity
"Fri, 30 Sep 2022 15:11:00 GMT",26,93
"Fri, 30 Sep 2022 16:02:00 GMT",26,93
"Fri, 30 Sep 2022 17:02:00 GMT",26,93
"Fri, 30 Sep 2022 18:02:00 GMT",26,93
"Fri, 30 Sep 2022 19:02:00 GMT",26,94
"Fri, 30 Sep 2022 20:02:00 GMT",26,93
"Fri, 30 Sep 2022 21:02:00 GMT",26,92
"Fri, 30 Sep 2022 22:02:00 GMT",27,91
"Fri, 30 Sep 2022 23:02:00 GMT",27,90
"Sat, 01 Oct 2022 00:02:00 GMT",27,87
"Sat, 01 Oct 2022 01:02:00 GMT",28,87
"Sat, 01 Oct 2022 02:02:00 GMT",28,84
"Sat, 01 Oct 2022 03:02:00 GMT",29,82
"Sat, 01 Oct 2022 04:02:00 GMT",29,78
"Sat, 01 Oct 2022 05:30:00 GMT",29,87
"Sat, 01 Oct 2022 06:31:00 GMT",30,76
"Sat, 01 Oct 2022 07:26:00 GMT",29,81
"Sat, 01 Oct 2022 08:02:00 GMT",28,83
"Sat, 01 Oct 2022 09:11:00 GMT",28,83
"Sat, 01 Oct 2022 10:02:00 GMT",28,83
"Sat, 01 Oct 2022 11:02:00 GMT",28,84
"Sat, 01 Oct 2022 12:02:00 GMT",28,84
"Sat, 01 Oct 2022 13:02:00 GMT",28,83
"Sat, 01 Oct 2022 14:02:00 GMT",28,85
"Sat, 01 Oct 2022 15:02:00 GMT",28,85
"Sat, 01 Oct 2022 16:02:00 GMT",28,85
"Sat, 01 Oct 2022 17:02:00 GMT",28,85
"Sat, 01 Oct 2022 18:02:00 GMT",28,85
"Sat, 01 Oct 2022 19:02:00 GMT",28,85
"Sat, 01 Oct 2022 20:02:00 GMT",28,85
"Sat, 01 Oct 2022 21:02:00 GMT",28,85
"Sat, 01 Oct 2022 22:46:00 GMT",28,82
"Sat, 01 Oct 2022 23:02:00 GMT",28,83
"Sun, 02 Oct 2022 00:02:00 GMT",28,82
"Sun, 02 Oct 2022 01:02:00 GMT",29,81
"Sun, 02 Oct 2022 02:02:00 GMT",29,81
"Sun, 02 Oct 2022 03:02:00 GMT",29,80
"Sun, 02 Oct 2022 04:02:00 GMT",30,78
"Sun, 02 Oct 2022 05:02:00 GMT",31,77
"Sun, 02 Oct 2022 06:02:00 GMT",31,74
"Sun, 02 Oct 2022 07:02:00 GMT",32,72
"Sun, 02 Oct 2022 08:02:00 GMT",31,77
"Sun, 02 Oct 2022 09:02:00 GMT",30,78
"Sun, 02 Oct 2022 10:16:00 GMT",29,81
"Sun, 02 Oct 2022 11:02:00 GMT",29,83
"Sun, 02 Oct 2022 12:02:00 GMT",29,84
"Sun, 02 Oct 2022 13:02:00 GMT",29,83
"Sun, 02 Oct 2022 14:02:00 GMT",29,83
