Time,area,rain
2022-09-30 23:11:00,Islands District,0 to 2
2022-10-01 00:02:00,Islands District,0 to 2
2022-10-01 03:02:00,Tai Po,0 to 1
2022-10-01 04:02:00,North District,0 to 1
2022-10-01 09:02:00,Tai Po,0 to 3
2022-10-01 09:02:00,Tsuen Wan,0 to 1
2022-10-01 09:02:00,Wong Tai Sin,0 to 1
2022-10-01 10:02:00,North District,0 to 4
2022-10-01 10:02:00,Sha Tin,0 to 3
2022-10-01 10:02:00,Tsuen Wan,0 to 3
2022-10-01 10:02:00,Tai Po,0 to 2
2022-10-01 10:02:00,Wan Chai,0 to 2
2022-10-01 10:02:00,Wong Tai Sin,0 to 2
2022-10-01 10:02:00,Yuen Long,0 to 2
2022-10-01 10:02:00,Central &amp; Western District,0 to 1
2022-10-01 11:02:00,Tai Po,0 to 1
2022-10-01 12:02:00,Tai Po,0 to 1
2022-10-01 13:30:00,Wan Chai,1 to 5
2022-10-01 13:30:00,Eastern District,1 to 3
2022-10-01 13:30:00,Central &amp; Western District,0 to 2
2022-10-01 13:30:00,Yau Tsim Mong,0 to 2
2022-10-01 13:30:00,Kowloon City,0 to 1
2022-10-01 13:30:00,North District,0 to 1
2022-10-01 14:31:00,Kwai Tsing,0 to 1
2022-10-01 15:26:00,Islands District,0 to 3
2022-10-01 16:02:00,Kwun Tong,1 to 5
2022-10-01 16:02:00,Wong Tai Sin,0 to 4
2022-10-01 16:02:00,Islands District,0 to 3
2022-10-01 16:02:00,Kowloon City,0 to 3
2022-10-01 16:02:00,Sai Kung,0 to 1
2022-10-01 16:02:00,Tai Po,0 to 1
2022-10-01 17:11:00,Wong Tai Sin,3 to 5
2022-10-01 17:11:00,Central &amp; Western District,1 to 5
2022-10-01 17:11:00,Southern District,1 to 3
2022-10-01 17:11:00,Sha Tin,0 to 6
2022-10-01 17:11:00,Tsuen Wan,0 to 5
2022-10-01 17:11:00,Islands District,0 to 3
2022-10-01 17:11:00,Kowloon City,0 to 3
2022-10-01 17:11:00,Tai Po,0 to 3
2022-10-01 17:11:00,Tuen Mun,0 to 3
2022-10-01 17:11:00,Wan Chai,0 to 3
2022-10-01 17:11:00,Kwai Tsing,0 to 2
2022-10-01 17:11:00,Yuen Long,0 to 2
2022-10-01 17:11:00,Eastern District,0 to 1
2022-10-01 17:11:00,Kwun Tong,0 to 1
2022-10-01 17:11:00,Sham Shui Po,0 to 1
2022-10-01 17:11:00,Yau Tsim Mong,0 to 1
2022-10-01 18:02:00,Sha Tin,0 to 3
2022-10-01 18:02:00,Tai Po,0 to 1
2022-10-01 18:02:00,Tuen Mun,0 to 1
2022-10-01 20:02:00,Tsuen Wan,0 to 1
2022-10-01 21:02:00,Central &amp; Western District,0 to 1
2022-10-01 22:02:00,Central &amp; Western District,0 to 2
2022-10-01 22:02:00,Southern District,0 to 2
2022-10-01 22:02:00,North District,0 to 1
2022-10-01 22:02:00,Sham Shui Po,0 to 1
2022-10-01 22:02:00,Tai Po,0 to 1
2022-10-01 22:02:00,Tsuen Wan,0 to 1
2022-10-01 22:02:00,Wan Chai,0 to 1
2022-10-01 23:02:00,Sha Tin,0 to 3
2022-10-01 23:02:00,Tsuen Wan,0 to 3
2022-10-01 23:02:00,Kwai Tsing,0 to 2
2022-10-01 23:02:00,Wong Tai Sin,0 to 2
2022-10-01 23:02:00,Kowloon City,0 to 1
2022-10-01 23:02:00,Kwun Tong,0 to 1
2022-10-01 23:02:00,North District,0 to 1
2022-10-01 23:02:00,Sai Kung,0 to 1
2022-10-01 23:02:00,Tai Po,0 to 1
2022-10-01 23:02:00,Tuen Mun,0 to 1
2022-10-01 23:02:00,Yuen Long,0 to 1
2022-10-02 00:02:00,Tsuen Wan,0 to 1
2022-10-02 00:02:00,Wong Tai Sin,0 to 1
2022-10-02 16:02:00,Sha Tin,0 to 3
2022-10-02 16:02:00,Wong Tai Sin,0 to 1
2022-10-05 09:02:00,Tai Po,0 to 1
2022-10-05 10:02:00,North District,0 to 8
2022-10-05 10:02:00,Yuen Long,0 to 7
2022-10-05 11:02:00,Tuen Mun,0 to 5
2022-10-05 11:02:00,Yuen Long,0 to 3
2022-10-06 01:02:00,Central &amp; Western District,0 to 1
